,store_id,item_id,wm_yr_wk,sell_price
0,STORE_2,STORE_2_085,11101,1.0
1,STORE_2,STORE_2_043,11101,2.88
2,STORE_2,STORE_2_054,11101,2.28
3,STORE_2,STORE_2_090,11101,1.25
4,STORE_2,STORE_2_252,11101,1.48
5,STORE_2,STORE_2_376,11101,1.0
6,STORE_2,STORE_2_524,11101,1.0
7,STORE_2,STORE_2_555,11101,1.48
8,STORE_2,STORE_2_586,11101,1.48
9,STORE_2,STORE_2_587,11101,2.48
10,STORE_2,STORE_2_681,11101,1.25
11,STORE_2,STORE_2_714,11101,1.48
12,STORE_3,STORE_3_357,11101,1.57
13,STORE_3,STORE_3_360,11101,0.58
14,STORE_3,STORE_3_090,11101,1.25
15,STORE_3,STORE_3_252,11101,1.48
16,STORE_3,STORE_3_389,11101,1.48
17,STORE_3,STORE_3_555,11101,1.48
18,STORE_3,STORE_3_586,11101,1.48
19,STORE_3,STORE_3_587,11101,2.28
20,STORE_3,STORE_3_714,11101,1.48
21,STORE_3,STORE_3_804,11101,1.88
22,STORE_1,STORE_1_064,11101,2.54
23,STORE_1,STORE_1_065,11101,2.94
24,STORE_1,STORE_1_376,11101,1.98
25,STORE_1,STORE_1_090,11101,1.25
26,STORE_1,STORE_1_252,11101,1.48
27,STORE_1,STORE_1_339,11101,0.88
28,STORE_1,STORE_1_546,11101,5.48
29,STORE_1,STORE_1_547,11101,0.2
30,STORE_1,STORE_1_555,11101,1.48
31,STORE_1,STORE_1_584,11101,1.0
32,STORE_1,STORE_1_586,11101,1.48
33,STORE_1,STORE_1_587,11101,2.28
34,STORE_1,STORE_1_714,11101,1.48
35,STORE_1,STORE_1_727,11101,3.98
36,STORE_2,STORE_2_085,11102,1.0
37,STORE_2,STORE_2_043,11102,2.88
38,STORE_2,STORE_2_054,11102,2.28
39,STORE_2,STORE_2_090,11102,1.25
40,STORE_2,STORE_2_252,11102,1.48
41,STORE_2,STORE_2_376,11102,1.0
42,STORE_2,STORE_2_524,11102,1.0
43,STORE_2,STORE_2_555,11102,1.48
44,STORE_2,STORE_2_586,11102,1.48
45,STORE_2,STORE_2_587,11102,2.48
46,STORE_2,STORE_2_681,11102,1.25
47,STORE_2,STORE_2_714,11102,1.48
48,STORE_3,STORE_3_357,11102,1.57
49,STORE_3,STORE_3_360,11102,0.58
50,STORE_3,STORE_3_090,11102,1.25
51,STORE_3,STORE_3_252,11102,1.48
52,STORE_3,STORE_3_389,11102,1.48
53,STORE_3,STORE_3_555,11102,1.48
54,STORE_3,STORE_3_586,11102,1.48
55,STORE_3,STORE_3_587,11102,2.48
56,STORE_3,STORE_3_714,11102,1.48
57,STORE_3,STORE_3_804,11102,1.88
58,STORE_1,STORE_1_064,11102,2.54
59,STORE_1,STORE_1_065,11102,2.94
60,STORE_1,STORE_1_376,11102,1.98
61,STORE_1,STORE_1_090,11102,1.25
62,STORE_1,STORE_1_252,11102,1.48
63,STORE_1,STORE_1_339,11102,0.88
64,STORE_1,STORE_1_546,11102,5.48
65,STORE_1,STORE_1_547,11102,0.2
66,STORE_1,STORE_1_555,11102,1.48
67,STORE_1,STORE_1_584,11102,1.0
68,STORE_1,STORE_1_586,11102,1.48
69,STORE_1,STORE_1_587,11102,2.48
70,STORE_1,STORE_1_714,11102,1.48
71,STORE_1,STORE_1_727,11102,3.98
72,STORE_2,STORE_2_085,11103,1.0
73,STORE_2,STORE_2_043,11103,2.88
74,STORE_2,STORE_2_054,11103,2.28
75,STORE_2,STORE_2_090,11103,1.25
76,STORE_2,STORE_2_252,11103,1.48
77,STORE_2,STORE_2_376,11103,1.0
78,STORE_2,STORE_2_524,11103,1.0
79,STORE_2,STORE_2_555,11103,1.48
80,STORE_2,STORE_2_586,11103,1.48
81,STORE_2,STORE_2_587,11103,2.48
82,STORE_2,STORE_2_681,11103,1.25
83,STORE_2,STORE_2_714,11103,1.48
84,STORE_3,STORE_3_357,11103,1.57
85,STORE_3,STORE_3_360,11103,0.58
86,STORE_3,STORE_3_090,11103,1.25
87,STORE_3,STORE_3_222,11103,4.28
88,STORE_3,STORE_3_252,11103,1.48
89,STORE_3,STORE_3_389,11103,1.48
90,STORE_3,STORE_3_555,11103,1.48
91,STORE_3,STORE_3_586,11103,1.48
92,STORE_3,STORE_3_587,11103,2.48
93,STORE_3,STORE_3_714,11103,1.48
94,STORE_3,STORE_3_804,11103,1.88
95,STORE_1,STORE_1_064,11103,2.54
96,STORE_1,STORE_1_065,11103,2.94
97,STORE_1,STORE_1_376,11103,1.98
98,STORE_1,STORE_1_090,11103,1.25
99,STORE_1,STORE_1_252,11103,1.48
100,STORE_1,STORE_1_339,11103,0.88
101,STORE_1,STORE_1_546,11103,5.48
102,STORE_1,STORE_1_547,11103,0.2
103,STORE_1,STORE_1_555,11103,1.48
104,STORE_1,STORE_1_584,11103,1.0
105,STORE_1,STORE_1_586,11103,1.48
106,STORE_1,STORE_1_587,11103,2.48
107,STORE_1,STORE_1_714,11103,1.48
108,STORE_1,STORE_1_727,11103,2.98
109,STORE_2,STORE_2_085,11104,1.0
110,STORE_2,STORE_2_043,11104,2.88
111,STORE_2,STORE_2_054,11104,2.28
112,STORE_2,STORE_2_090,11104,1.25
113,STORE_2,STORE_2_252,11104,1.48
114,STORE_2,STORE_2_376,11104,1.0
115,STORE_2,STORE_2_524,11104,1.0
116,STORE_2,STORE_2_555,11104,1.48
117,STORE_2,STORE_2_586,11104,1.48
118,STORE_2,STORE_2_587,11104,2.48
119,STORE_2,STORE_2_681,11104,1.25
120,STORE_2,STORE_2_714,11104,1.48
121,STORE_3,STORE_3_357,11104,1.57
122,STORE_3,STORE_3_360,11104,0.58
123,STORE_3,STORE_3_090,11104,1.25
124,STORE_3,STORE_3_222,11104,4.28
125,STORE_3,STORE_3_252,11104,1.48
126,STORE_3,STORE_3_389,11104,1.48
127,STORE_3,STORE_3_555,11104,1.48
128,STORE_3,STORE_3_586,11104,1.48
129,STORE_3,STORE_3_587,11104,2.68
130,STORE_3,STORE_3_714,11104,1.48
131,STORE_3,STORE_3_804,11104,1.88
132,STORE_1,STORE_1_064,11104,2.54
133,STORE_1,STORE_1_065,11104,2.94
134,STORE_1,STORE_1_376,11104,1.98
135,STORE_1,STORE_1_090,11104,1.25
136,STORE_1,STORE_1_252,11104,1.48
137,STORE_1,STORE_1_339,11104,0.88
138,STORE_1,STORE_1_546,11104,5.48
139,STORE_1,STORE_1_547,11104,0.2
140,STORE_1,STORE_1_555,11104,1.48
141,STORE_1,STORE_1_584,11104,1.0
142,STORE_1,STORE_1_586,11104,1.48
143,STORE_1,STORE_1_587,11104,2.48
144,STORE_1,STORE_1_714,11104,1.48
145,STORE_1,STORE_1_727,11104,2.98
146,STORE_2,STORE_2_085,11105,1.0
