,item_id,store_id,date_id,cnt
0,STORE_2_085,STORE_2,1,3
1,STORE_2_085,STORE_2,2,8
2,STORE_2_085,STORE_2,3,0
3,STORE_2_085,STORE_2,4,3
4,STORE_2_085,STORE_2,5,0
5,STORE_2_085,STORE_2,6,7
6,STORE_2_085,STORE_2,7,4
7,STORE_2_085,STORE_2,8,5
8,STORE_2_085,STORE_2,9,3
9,STORE_2_085,STORE_2,10,7
10,STORE_2_085,STORE_2,11,4
11,STORE_2_085,STORE_2,12,4
12,STORE_2_085,STORE_2,13,3
13,STORE_2_085,STORE_2,14,7
14,STORE_2_085,STORE_2,15,2
15,STORE_2_085,STORE_2,16,3
16,STORE_2_085,STORE_2,17,12
17,STORE_2_085,STORE_2,18,6
18,STORE_2_085,STORE_2,19,4
19,STORE_2_085,STORE_2,20,5
20,STORE_2_085,STORE_2,21,2
21,STORE_2_085,STORE_2,22,4
22,STORE_2_085,STORE_2,23,3
23,STORE_2_085,STORE_2,24,3
24,STORE_2_085,STORE_2,25,4
25,STORE_2_085,STORE_2,26,4
26,STORE_2_085,STORE_2,27,0
27,STORE_2_085,STORE_2,28,9
28,STORE_2_085,STORE_2,29,3
29,STORE_2_085,STORE_2,30,3
30,STORE_2_085,STORE_2,31,1
31,STORE_2_085,STORE_2,32,4
32,STORE_2_085,STORE_2,33,6
33,STORE_2_085,STORE_2,34,4
34,STORE_2_085,STORE_2,35,3
35,STORE_2_085,STORE_2,36,4
36,STORE_2_085,STORE_2,37,6
37,STORE_2_085,STORE_2,38,2
38,STORE_2_085,STORE_2,39,1
39,STORE_2_085,STORE_2,40,0
40,STORE_2_085,STORE_2,41,2
41,STORE_2_085,STORE_2,42,8
42,STORE_2_085,STORE_2,43,5
43,STORE_2_085,STORE_2,44,1
44,STORE_2_085,STORE_2,45,2
45,STORE_2_085,STORE_2,46,0
46,STORE_2_085,STORE_2,47,1
47,STORE_2_085,STORE_2,48,4
48,STORE_2_085,STORE_2,49,0
49,STORE_2_085,STORE_2,50,5
50,STORE_2_085,STORE_2,51,4
51,STORE_2_085,STORE_2,52,4
52,STORE_2_085,STORE_2,53,4
53,STORE_2_085,STORE_2,54,1
54,STORE_2_085,STORE_2,55,7
55,STORE_2_085,STORE_2,56,1
56,STORE_2_085,STORE_2,57,2
57,STORE_2_085,STORE_2,58,2
58,STORE_2_085,STORE_2,59,0
59,STORE_2_085,STORE_2,60,15
60,STORE_2_085,STORE_2,61,0
61,STORE_2_085,STORE_2,62,0
62,STORE_2_085,STORE_2,63,2
63,STORE_2_085,STORE_2,64,2
64,STORE_2_085,STORE_2,65,4
65,STORE_2_085,STORE_2,66,3
66,STORE_2_085,STORE_2,67,2
67,STORE_2_085,STORE_2,68,3
68,STORE_2_085,STORE_2,69,6
69,STORE_2_085,STORE_2,70,2
70,STORE_2_085,STORE_2,71,3
71,STORE_2_085,STORE_2,72,1
72,STORE_2_085,STORE_2,73,1
73,STORE_2_085,STORE_2,74,3
74,STORE_2_085,STORE_2,75,4
75,STORE_2_085,STORE_2,76,6
76,STORE_2_085,STORE_2,77,4
77,STORE_2_085,STORE_2,78,3
78,STORE_2_085,STORE_2,79,5
79,STORE_2_085,STORE_2,80,1
80,STORE_2_085,STORE_2,81,3
81,STORE_2_085,STORE_2,82,4
82,STORE_2_085,STORE_2,83,5
83,STORE_2_085,STORE_2,84,3
84,STORE_2_085,STORE_2,85,2
85,STORE_2_085,STORE_2,86,8
86,STORE_2_085,STORE_2,87,6
87,STORE_2_085,STORE_2,88,2
88,STORE_2_085,STORE_2,89,2
89,STORE_2_085,STORE_2,90,1
90,STORE_2_085,STORE_2,91,3
91,STORE_2_085,STORE_2,92,1
92,STORE_2_085,STORE_2,93,4
93,STORE_2_085,STORE_2,94,1
94,STORE_2_085,STORE_2,95,2
95,STORE_2_085,STORE_2,96,6
96,STORE_2_085,STORE_2,97,2
97,STORE_2_085,STORE_2,98,2
98,STORE_2_085,STORE_2,99,3
99,STORE_2_085,STORE_2,100,7
100,STORE_2_085,STORE_2,101,2
101,STORE_2_085,STORE_2,102,3
102,STORE_2_085,STORE_2,103,1
103,STORE_2_085,STORE_2,104,6
104,STORE_2_085,STORE_2,105,0
105,STORE_2_085,STORE_2,106,7
106,STORE_2_085,STORE_2,107,1
